station_name,station_id,lat,lng
Constitution Ave & 2nd St NW/DOL,305.0,38.892275,-77.013917
8th & O St NW,413.0,38.908640000000005,-77.02277
Massachusetts Ave & Dupont Circle NW,24.0,38.9101,-77.0444
Henry Bacon Dr & Lincoln Memorial Circle NW,452.0,38.890539000000004,-77.04938299999999
C & O Canal & Wisconsin Ave NW,127.0,38.90375,-77.06269
5th & F St NW,141.0,38.897222,-77.019347
Jefferson Memorial,187.0,38.879819,-77.037413
Battery Ln & Trolley Trail,340.0,38.992375,-77.100104
1st & D St SE,482.0,38.884916,-77.005965
M St & Pennsylvania Ave NW,184.0,38.905126,-77.056887
Hardy Rec Center,654.0,38.9097,-77.085646
15th & L St NW,394.0,38.903649,-77.034918
Edgewood Rec Center,642.0,38.924144,-77.002098
New Hampshire Ave & 24th St NW,382.0,38.901755,-77.051084
1st & M St NE,65.0,38.905696999999996,-77.005483
14th & Irving St NW,461.0,38.928552,-77.032224
1st & Washington Hospital Center NW,61.0,38.928743,-77.012457
Fairfax Dr & Wilson Blvd,179.0,38.885801,-77.09774499999999
14th & V St NW,14.0,38.917764,-77.032096
Park Rd & Holmead Pl NW,64.0,38.9308,-77.0315
New York Ave & 15th St NW,124.0,38.899032,-77.033354
4th & East Capitol St NE,139.0,38.889955,-77.000349
24th & N St NW,272.0,38.9066,-77.05152
Florida Ave & R St NW,58.0,38.9126,-77.0135
Rhode Island Ave Metro,368.0,38.920682,-76.995876
Vermont Ave & I St NW,462.0,38.901136,-77.034451
17th & Corcoran St NW,101.0,38.9121,-77.0387
California St & Florida Ave NW,78.0,38.917761,-77.04061999999999
4th & M St SW,21.0,38.876697,-77.01789699999999
17th & K St NW,100.0,38.90276,-77.03863
15th & M St NW,526.0,38.905424,-77.034674
Prince George's Plaza Metro,638.0,38.965742,-76.954803
Columbia & Ontario Rd NW,517.0,38.924088,-77.040787
18th & L St NW,126.0,38.903741,-77.042452
14th St & Colorado Ave NW,90.0,38.956432,-77.032947
Briggs Chaney & Castle Dr,656.0,39.081638,-76.945495
14th & Newton St NW,575.0,38.931991,-77.032956
Adams Mill & Columbia Rd NW,17.0,38.922925,-77.04258100000001
Massachusetts Ave & 6th St NE,591.0,38.892934000000004,-76.998273
National Harbor Carousel,647.0,38.7859,-77.0167
3rd & D St SE,67.0,38.8851,-77.0023
4th & D St NW / Judiciary Square,145.0,38.895344,-77.01610600000001
1st & O St NW,434.0,38.908643,-77.012365
13th & E St SE,69.0,38.882915000000004,-76.98790600000001
Barcroft Community Center,168.0,38.850336,-77.100988
Potomac & Pennsylvania Ave SE,68.0,38.8803,-76.9862
Court House Metro / 15th St & N Uhle St,390.0,38.890612,-77.084801
Fleet St & Waterfront St,579.0,38.782633000000004,-77.016059
1st & Rhode Island Ave NW,60.0,38.915417,-77.012289
Rhodes St & 16th St N,172.0,38.892164,-77.079375
Smithsonian-National Mall / Jefferson Dr & 12th St SW,186.0,38.888774,-77.02869399999999
22nd & P ST NW,437.0,38.909394,-77.048728
Rolfe St & 9th St S,369.0,38.866471000000004,-77.076131
Convention Center / 7th & M St NW,125.0,38.905737,-77.02226999999999
13th & D St NE,146.0,38.894832,-76.987633
Jefferson Dr & 14th St SW,185.0,38.888552000000004,-77.032427
Park Run & Onyx Dr,585.0,38.92755,-77.226644
Clarendon Metro / Wilson Blvd & N Highland St,177.0,38.887859999999996,-77.094875
11th & Kenyon St NW,15.0,38.929464,-77.027822
Georgia Ave & Morton St NW,626.0,38.932128000000006,-77.0235
Neal St & Trinidad Ave NE,298.0,38.903732,-76.987211
8th & H St NW,130.0,38.8997,-77.02308599999999
18th & R St NW,398.0,38.912648,-77.041834
New Hampshire Ave & T St NW,131.0,38.915544,-77.038252
Georgia & New Hampshire Ave NW,83.0,38.936683,-77.02418
3rd & Elm St NW,80.0,38.917621999999994,-77.01597
Oklahoma Ave & Benning Rd NE,666.0,38.897498999999996,-76.969509
16th & Irving St NW,429.0,38.928893,-77.03625
7th & T St NW,22.0,38.9155,-77.0222
Carlin Springs Rd & N Thomas St,499.0,38.876695,-77.11298199999999
Kingman Island/The Fields at RFK,645.0,38.895953999999996,-76.967844
1st & K St SE,192.0,38.878854,-77.00572700000001
4th St & Madison Dr NW,451.0,38.890495,-77.017246
8th & Eye St SE / Barracks Row,94.0,38.8792,-76.9953
20th St & Florida Ave NW,23.0,38.9154,-77.0446
D St & Maryland Ave NE,144.0,38.894758,-76.997114
Hains Point/Buckeye & Ohio Dr SW,355.0,38.878433,-77.03023
12th St & Pennsylvania Ave SE,497.0,38.882489,-76.990121
Eastern Market Metro / Pennsylvania Ave & 7th St SE,120.0,38.884,-76.995397
14th & Otis Pl NW,634.0,38.934405,-77.032687
Bladensburg Rd & Benning Rd NE,138.0,38.900413,-76.982872
6th St & Indiana Ave NW,248.0,38.894573,-77.01994
Thomas Circle,178.0,38.9059,-77.0325
3rd St & Pennsylvania Ave SE,302.0,38.887378000000005,-77.00195500000001
14th & Q St NW,680.0,38.910674,-77.03188
4th & C St SW,181.0,38.886371000000004,-77.0177
14th & Belmont St NW,81.0,38.921074,-77.031887
Clark St & 26th St S,70.0,38.850688,-77.05152
11th & M St NW,195.0,38.905578000000006,-77.027313
Maine Ave & 7th St SW,95.0,38.878693,-77.023054
10th & E St NW,273.0,38.895914000000005,-77.026064
14th & Upshur St NW,89.0,38.942475,-77.032678
8th & K St NE,644.0,38.902732,-76.995149
Columbia Pike & S Walter Reed Dr,233.0,38.862478,-77.08659899999999
4th St & K St NW,456.0,38.902405,-77.016005
18th & M St NW,123.0,38.905066,-77.04177800000001
23rd & M St NW,533.0,38.905303,-77.050264
Maine Ave & 9th St SW,548.0,38.88044,-77.02523599999999
Connecticut Ave & Newark St NW / Cleveland Park,108.0,38.934267,-77.057979
King Greenleaf Rec Center,587.0,38.876211,-77.012443
3rd & M St NE,191.0,38.905469000000004,-77.00213000000001
14th & Rhode Island Ave NW,27.0,38.9086,-77.0323
Wilson Blvd & N Troy St,529.0,38.892556,-77.082089
21st St & Constitution Ave NW,173.0,38.892459,-77.04656700000001
Virginia Ave & 25th St NW,525.0,38.8995,-77.05415500000001
14th & R St NW,26.0,38.913046,-77.03200799999999
Eisenhower Ave & Mill Race Ln,383.0,38.801111,-77.068952
1st & N St  SE,33.0,38.8743,-77.0057
S Arlington Mill Dr & Campbell Ave,226.0,38.84232,-77.089555
Ballenger Ave & Dulaney St,385.0,38.802677,-77.063562
American University East Campus,530.0,38.936298,-77.087128
23rd & E St NW ,197.0,38.896104,-77.049882
Bethesda Ave & Arlington Rd,310.0,38.981103000000004,-77.097426
11th & S St NW,410.0,38.913761,-77.027025
Crystal Dr & 27th St S,10.0,38.848465999999995,-77.051514
New Jersey Ave & R St NW,292.0,38.912659000000005,-77.017669
8th & F St NE,294.0,38.897273999999996,-76.994749
Lynn St & 19th St North,114.0,38.897315,-77.070993
Tanger Outlets,611.0,38.7968,-77.0026
10th & U St NW,73.0,38.9172,-77.0259
Anacostia Park,553.0,38.87335,-76.9834
Connecticut Ave & Yuma St NW,444.0,38.947156,-77.065115
Van Ness Metro / UDC,103.0,38.944551000000004,-77.063896
Gravelly Point,230.0,38.865029,-77.039511
Maryland Ave & E St NE,417.0,38.896134,-76.9929
1st & K St NE,669.0,38.902386,-77.005649
6th & H St NE,136.0,38.899972,-76.998347
4th & M St SE,582.0,38.876751,-77.000736
2nd St & Massachusetts Ave NE,445.0,38.894971999999996,-77.003135
Crystal City Metro / 18th St & S Bell St,8.0,38.857403999999995,-77.05113100000001
Crystal Dr & 23rd St S,12.0,38.8533,-77.0498
15th & W St NW,496.0,38.919018,-77.034449
15th & P St NW,25.0,38.909867999999996,-77.034421
Crystal Dr & 20th St S,3.0,38.856425,-77.04923199999999
Potomac Ave & 8th St SE,323.0,38.876737,-76.99446800000001
John McCormack Dr & Michigan Ave NE,57.0,38.9346,-76.9955
10th & Monroe St NE,59.0,38.932514000000005,-76.992889
Lincoln Memorial,277.0,38.888255,-77.049436
Washington Blvd & 10th St N,202.0,38.884734,-77.093485
Woodley Park Metro / Calvert St & Connecticut Ave NW,592.0,38.923389,-77.051833
7th & F St NW / National Portrait Gallery,148.0,38.897283,-77.022191
20th & L St NW,266.0,38.903584,-77.044789
17th St & Independence Ave SW,453.0,38.888096999999995,-77.038325
15th St & Pennsylvania Ave NW,544.0,38.896465,-77.033381
19th St & Constitution Ave NW,151.0,38.8923,-77.0436
34th & Water St NW,377.0,38.903732,-77.06752900000001
,,38.93,-77.02
Fort Totten Metro,367.0,38.95235133333333,-77.00266566666667
14th & Harvard St NW,18.0,38.92666533333333,-77.03224
Wilson Blvd & N Quincy St,194.0,38.880021166666666,-77.10781283333333
11th & Park Rd NW,581.0,38.931415333333334,-77.0281865
14th & D St SE,677.0,38.88403133333333,-76.98609166666667
3rd & Tingey St SE,322.0,38.8749185,-77.00258000000001
20th & O St NW / Dupont South,150.0,38.9088,-77.04494066666666
39th & Calvert St NW / Stoddert,109.0,38.92262933333333,-77.07725500000001
7th & S St NW,630.0,38.9141865,-77.02213516666667
1st & M St SE,578.0,38.8773845,-77.0058585
New Hampshire & Gallatin St NW,597.0,38.951638333333335,-77.012762
