start,end,trips
10th & E St NW,10th & E St NW,161
10th & E St NW,10th & Florida Ave NW,3
10th & E St NW,10th & G St NW,8
10th & E St NW,10th & K St NW,12
10th & E St NW,10th & Monroe St NE,1
10th & E St NW,10th & U St NW,4
10th & E St NW,10th St & Constitution Ave NW,10
10th & E St NW,10th St & L'Enfant Plaza SW,4
10th & E St NW,11th & C St SE,1
10th & E St NW,11th & F St NW,2
10th & E St NW,11th & Girard St NW,3
10th & E St NW,11th & H St NE,18
10th & E St NW,11th & Kenyon St NW,3
10th & E St NW,11th & M St NW,9
10th & E St NW,11th & O St NW,28
10th & E St NW,11th & Park Rd NW,4
10th & E St NW,11th & S St NW,4
10th & E St NW,12th & L St NW,5
10th & E St NW,12th & U St NW,24
10th & E St NW,12th St & Pennsylvania Ave SE,3
10th & E St NW,13th & D St NE,9
10th & E St NW,13th & E St SE,1
10th & E St NW,13th & H St NE,1
10th & E St NW,13th & U St NW,2
10th & E St NW,13th St & New York Ave NW,9
10th & E St NW,14th & Belmont St NW,3
10th & E St NW,14th & D St NW / Ronald Reagan Building,12
10th & E St NW,14th & D St SE,2
10th & E St NW,14th & G St NW,12
10th & E St NW,14th & Girard St NW,1
10th & E St NW,14th & Harvard St NW,2
10th & E St NW,14th & Irving St NW,5
10th & E St NW,14th & L St NW,6
10th & E St NW,14th & Otis Pl NW,3
10th & E St NW,14th & Q St NW,15
10th & E St NW,14th & R St NW,3
10th & E St NW,14th & Rhode Island Ave NW,6
10th & E St NW,14th & Upshur St NW,21
10th & E St NW,14th & V St NW,6
10th & E St NW,14th St & New York Ave NW,9
10th & E St NW,15th & East Capitol St NE,10
10th & E St NW,15th & F St NE,3
10th & E St NW,15th & K St NW,1
10th & E St NW,15th & L St NW,3
10th & E St NW,15th & M St NW,5
10th & E St NW,15th & P St NW,14
10th & E St NW,15th & W St NW,8
10th & E St NW,15th St & Constitution Ave NW,16
10th & E St NW,15th St & Massachusetts Ave SE,2
10th & E St NW,15th St & N Scott St,2
10th & E St NW,15th St & Pennsylvania Ave NW,12
10th & E St NW,16th & Harvard St NW,2
10th & E St NW,16th & Irving St NW,1
10th & E St NW,16th & R St NW,3
10th & E St NW,17th & Corcoran St NW,8
10th & E St NW,17th & G St NW,10
10th & E St NW,17th & K St NW,12
10th & E St NW,17th & K St NW / Farragut Square,8
10th & E St NW,17th St & Independence Ave SW,12
10th & E St NW,17th St & Massachusetts Ave NW,8
10th & E St NW,18th & C St NW,10
10th & E St NW,18th & L St NW,4
10th & E St NW,18th & M St NW,7
10th & E St NW,18th & New Hampshire Ave NW,28
10th & E St NW,18th & R St NW,10
10th & E St NW,18th St & Pennsylvania Ave NW,4
10th & E St NW,18th St & Wyoming Ave NW,4
10th & E St NW,19th & G St NW,7
10th & E St NW,19th & K St NW,1
10th & E St NW,19th St & Constitution Ave NW,5
10th & E St NW,19th St & Pennsylvania Ave NW,1
10th & E St NW,1st & D St SE,6
10th & E St NW,1st & H St NW,8
10th & E St NW,1st & K St NE,56
10th & E St NW,1st & K St SE,56
10th & E St NW,1st & M St NE,60
10th & E St NW,1st & M St SE,7
10th & E St NW,1st & N St  SE,5
10th & E St NW,1st & O St NW,5
10th & E St NW,1st & Rhode Island Ave NW,7
10th & E St NW,20th & E St NW,4
10th & E St NW,20th & L St NW,4
10th & E St NW,20th & O St NW / Dupont South,10
10th & E St NW,20th St & Florida Ave NW,5
10th & E St NW,20th St & Virginia Ave NW,3
10th & E St NW,21st & I St NW,4
10th & E St NW,21st St & Constitution Ave NW,1
10th & E St NW,21st St & Pennsylvania Ave NW,4
10th & E St NW,22nd & H St NW,4
10th & E St NW,22nd & I St NW / Foggy Bottom,3
10th & E St NW,22nd & P ST NW,2
10th & E St NW,22nd St & Constitution Ave NW,2
10th & E St NW,23rd & E St NW ,11
10th & E St NW,23rd & M St NW,6
10th & E St NW,25th St & Pennsylvania Ave NW,7
10th & E St NW,2nd & G St NE,69
10th & E St NW,2nd St & Massachusetts Ave NE,15
10th & E St NW,2nd St & Seaton Pl NE,8
10th & E St NW,31st & Water St NW,2
10th & E St NW,34th & Water St NW,7
10th & E St NW,34th St & Wisconsin Ave NW,2
10th & E St NW,36th & Calvert St NW / Glover Park,1
10th & E St NW,37th & O St NW / Georgetown University,3
